,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
167,/players/b/boshch01.html,Chris Bosh,2004,2016,F-C,Georgia Tech,6-11,235,"March 24, 1984",1.0,.335,0.3,.506,.494,7.0,14.1,.799,5.0,6.3,893,19.2,1.5,.478,0.7,,9.7,.560,5.4,.730,5.6,4.1,31,15.6
168,/players/b/bostobr01.html,Brandon Boston Jr.,2022,2022,G-F,Kentucky,6-7,185,"November 28, 2001",2.2,.312,0.7,.432,.377,2.3,6.2,.838,1.1,1.4,50,6.5,4.0,.300,1.2,,11.6,.355,4.1,.785,2.6,2.0,25,11.5
169,/players/b/bouchch01.html,Chris Boucher,2018,2022,F,Oregon,6-9,200,"January 11, 1993",2.7,.333,0.9,.551,.483,3.1,6.5,.783,1.7,2.2,227,8.9,3.2,.344,1.1,,8.2,.532,4.3,.641,3.4,2.2,69,12.0
170,/players/b/bouknja01.html,James Bouknight,2022,2022,G,UConn,6-5,190,"September 18, 2000",1.8,.347,0.6,.415,.353,1.7,4.9,.871,1.0,1.1,28,5.0,3.4,.320,1.1,,11.5,.456,5.3,.802,4.2,3.4,43,15.0
171,/players/b/bowenbr02.html,Brian Bowen,2020,2021,F,,6-6,190,"October 2, 1998",0.3,.000,0.0,.286,.286,0.3,1.2,1.000,0.1,0.1,12,0.8,,,,,,,,,,,,
172,/players/b/bowmaky01.html,Ky Bowman,2020,2020,G,Boston College,6-1,187,"June 16, 1997",2.4,.308,0.7,.469,.417,3.0,7.1,.829,0.8,0.9,45,7.4,5.8,.388,2.3,,13.6,.433,5.9,.762,3.9,2.9,98,16.9
173,/players/b/bozemce01.html,Cedric Bozeman,2007,2007,G,UCLA,6-6,207,"March 7, 1983",0.6,.154,0.1,.308,.282,0.5,1.7,.333,0.1,0.3,23,1.1,1.3,.321,0.4,,5.9,.435,2.6,.584,1.8,1.0,106,6.6
174,/players/b/brackcr01.html,Craig Brackins,2011,2012,F,Iowa State,6-10,230,"October 9, 1987",0.8,.214,0.2,.296,.265,0.8,2.9,.500,0.1,0.1,17,1.8,2.5,.292,0.7,,13.4,.445,6.0,.726,4.7,3.4,96,16.0
175,/players/b/bradlav01.html,Avery Bradley,2011,2022,G,Texas,6-3,180,"November 26, 1990",3.6,.365,1.3,.498,.434,4.4,10.2,.783,0.9,1.1,659,11.0,3.3,.375,1.2,,10.8,.432,4.7,.545,1.9,1.1,34,11.6
176,/players/b/bradlto01.html,Tony Bradley,2018,2022,F-C,UNC,6-10,248,"January 8, 1998",0.0,.429,0.0,.636,.634,2.0,3.2,.677,0.5,0.8,164,4.6,0.0,,0.0,,4.7,.573,2.7,.619,2.8,1.7,38,7.1
177,/players/b/braggto01.html,Torraye Braggs,2004,2005,F,Xavier,6-8,245,"May 15, 1976",0.0,,0.0,.475,.475,0.9,1.8,.667,0.4,0.5,22,2.1,0.0,.000,0.0,,8.6,.550,4.7,.727,5.4,3.9,59,13.4
178,/players/b/brantja01.html,Jarrell Brantley,2020,2021,F,College of Charleston,6-5,250,"June 7, 1996",1.1,.366,0.4,.531,.438,0.9,2.2,.750,0.1,0.1,37,2.4,2.6,.353,0.9,,11.6,.487,5.6,.768,4.4,3.4,123,15.6
179,/players/b/brazdig01.html,Ignas Brazdeikis,2020,2022,F,Michigan,6-6,221,"January 8, 1999",1.7,.330,0.6,.482,.413,1.7,4.1,.700,0.5,0.7,61,4.4,3.9,.392,1.5,,11.0,.462,5.1,.773,4.1,3.1,37,14.8
180,/players/b/bremejr01.html,J.R. Bremer,2003,2004,G,St. Bonaventure,6-2,185,"September 19, 1980",3.6,.333,1.2,.441,.344,2.1,6.2,.748,1.0,1.3,100,6.5,6.0,.333,2.0,,12.2,.403,4.9,.752,4.8,3.6,112,15.5
181,/players/b/breweco01.html,Corey Brewer,2008,2020,F-G,Florida,6-9,186,"March 5, 1986",2.2,.284,0.6,.465,.425,3.3,7.7,.713,1.5,2.1,819,8.7,2.6,.356,0.9,,8.2,.480,4.0,.708,3.6,2.5,108,11.3
182,/players/b/brewero02.html,Ronnie Brewer,2007,2014,G-F,Arkansas,6-7,220,"March 20, 1985",0.7,.254,0.2,.505,.490,3.1,6.3,.675,1.5,2.2,502,7.8,3.4,.340,1.2,,11.9,.462,5.5,.671,5.4,3.6,90,15.7
183,/players/b/bridgmi01.html,Mikal Bridges,2019,2022,G,Villanova,6-6,209,"August 30, 1996",3.7,.375,1.4,.591,.508,4.2,8.4,.830,1.4,1.7,305,11.3,3.7,.400,1.5,,7.5,.525,3.9,.845,2.3,1.9,116,11.3
184,/players/b/bridgmi02.html,Miles Bridges,2019,2022,G-F,Michigan State,6-6,225,"March 21, 1998",4.3,.345,1.5,.542,.472,5.0,10.6,.807,1.8,2.2,287,13.3,5.5,.375,2.0,,13.2,.470,6.2,.776,3.2,2.5,62,17.0
185,/players/b/brimaam01.html,Amida Brimah,2021,2021,C,UConn,6-10,230,"February 11, 1994",0.0,,0.0,.625,.625,1.0,1.6,1.000,0.6,0.6,5,2.6,0.0,,0.0,,4.1,.637,2.6,.644,2.3,1.5,133,6.7
186,/players/b/briscis01.html,Isaiah Briscoe,2019,2019,G,Kentucky,6-3,215,"April 13, 1996",0.9,.324,0.3,.438,.399,1.4,3.5,.577,0.4,0.7,39,3.5,1.4,.229,0.3,,9.3,.455,4.2,.555,3.9,2.2,70,10.9
187,/players/b/brissos01.html,Oshae Brissett,2020,2022,F,Syracuse,6-7,210,"June 20, 1998",3.0,.359,1.1,.508,.424,2.7,6.3,.723,1.6,2.2,104,8.0,3.9,.307,1.2,,11.7,.371,4.4,.736,5.2,3.8,71,13.7
188,/players/b/brockjo01.html,Jon Brockman,2010,2012,F,Washington,6-7,255,"March 20, 1987",0.0,.000,0.0,.488,.488,0.8,1.6,.618,0.6,0.9,150,2.1,0.0,.000,0.0,,10.3,.534,5.5,.612,4.6,2.8,131,13.8
189,/players/b/broekry01.html,Ryan Broekhoff,2019,2020,F,Valparaiso,6-6,215,"August 23, 1990",2.4,.403,1.0,.584,.427,1.3,3.1,.815,0.4,0.5,59,4.0,4.6,.408,1.9,,8.2,.464,3.8,.818,2.9,2.4,134,11.9
190,/players/b/brogdma01.html,Malcolm Brogdon,2017,2022,G,Virginia,6-5,229,"December 11, 1992",4.2,.376,1.6,.526,.464,5.8,12.5,.881,2.4,2.7,333,15.5,3.7,.365,1.4,,10.3,.430,4.4,.876,3.5,3.1,136,13.3
191,/players/b/brookaa01.html,Aaron Brooks,2008,2018,G,Oregon,6-0,161,"January 14, 1985",3.4,.370,1.3,.488,.413,3.5,8.5,.837,1.4,1.7,645,9.7,4.8,.374,1.8,,10.1,.430,4.3,.834,3.2,2.7,115,13.1
192,/players/b/brookar01.html,Armoni Brooks,2021,2022,G,Houston,6-3,195,"June 5, 1998",5.5,.333,1.8,.509,.369,2.4,6.6,.742,0.3,0.4,72,7.0,5.8,.397,2.3,,7.9,.415,3.3,.711,0.8,0.6,100,9.4
193,/players/b/brookdi01.html,Dillon Brooks,2018,2022,F-G,Oregon,6-7,225,"January 22, 1996",4.6,.347,1.6,.482,.421,5.4,12.9,.798,2.1,2.6,270,14.5,3.4,.362,1.2,,11.4,.472,5.4,.794,3.5,2.8,109,14.8
194,/players/b/brookma01.html,MarShon Brooks,2012,2019,G-F,Providence,6-5,200,"January 26, 1989",1.6,.345,0.5,.487,.447,3.1,6.9,.751,1.3,1.7,200,8.0,4.2,.333,1.4,,11.2,.464,5.2,.739,3.6,2.6,113,14.4
195,/players/b/brownan01.html,Andre Brown,2007,2009,F,DePaul,6-9,245,"May 12, 1981",0.0,.000,0.0,.516,.516,1.1,2.1,.500,0.4,0.9,75,2.6,0.0,.000,0.0,,8.3,.502,4.2,.523,4.5,2.3,107,10.7
196,/players/b/brownan02.html,Anthony Brown,2016,2018,F-G,Stanford,6-7,210,"October 10, 1992",2.4,.286,0.7,.407,.328,1.4,4.3,.850,0.4,0.5,41,3.9,3.8,.403,1.5,,8.4,.428,3.6,.751,2.8,2.1,144,10.8
197,/players/b/brownbo02.html,Bobby Brown,2009,2018,G,Cal State Fullerton,6-2,175,"September 24, 1984",1.9,.317,0.6,.446,.379,1.7,4.5,.806,0.3,0.4,158,4.4,7.0,.377,2.6,,13.9,.428,6.0,.789,2.9,2.3,116,16.9
198,/players/b/brownbr01.html,Bruce Brown,2019,2022,G,Miami (FL),6-4,202,"August 15, 1996",1.3,.319,0.4,.512,.480,3.0,6.2,.742,1.2,1.6,265,7.5,3.0,.316,0.9,,9.2,.442,4.1,.702,3.7,2.6,52,11.7
199,/players/b/brownch02.html,Charlie Brown Jr.,2020,2022,G,Saint Joseph's,6-6,199,"February 2, 1997",1.0,.214,0.2,.332,.287,0.7,2.5,.920,0.6,0.6,41,2.2,5.7,.370,2.1,,13.0,.407,5.3,.836,3.9,3.2,63,16.0
200,/players/b/brownch05.html,Chaundee Brown Jr.,2022,2022,G-F,"Wake Forest, Michigan",6-5,215,"December 4, 1998",3.6,.333,1.2,.406,.313,2.0,6.4,.833,1.0,1.2,5,6.2,3.3,.352,1.1,,8.2,.435,3.6,.812,1.9,1.6,112,9.8
