,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM,height,weight
60,Jordan Geronimo,SO,F,Indiana,34,429,121,9,9,24,31,49,148,.518,.593,.310,.568,4.4,3.6,0.3,0.3,0.7,17.2,1.4,3.3,6-6,220
61,Mason Gillis,SO,F,Purdue,33,776,159,35,12,7,26,62,210,.496,.630,.414,.850,6.4,4.8,1.1,0.4,0.2,15.3,2.8,6.1,6-6,230
62,Carter Gilmore,SO,F,Wisconsin,22,173,22,8,2,4,2,20,19,.259,.429,.077,.571,0.9,1.0,0.4,0.1,0.2,4.4,0.2,-0.1,6-7,215
63,Luke Goode,FR,G,Illinois,28,249,49,15,1,4,9,24,56,.327,.167,.372,.667,2.0,1.8,0.5,0.0,0.1,9.8,0.6,2.9,6-7,200
64,James Graham III,FR,F,Maryland,1,5,1,0,0,0,1,0,2,.000,,.000,1.000,2.0,1.0,0.0,0.0,0.0,10.2,0.0,-9.8,6-8,205
72,Coleman Hawkins,SO,F,Illinois,33,627,141,50,26,17,45,62,194,.442,.551,.292,.650,5.9,4.3,1.5,0.8,0.5,16.1,2.1,6.1,6-10,200
73,Chucky Hepburn,FR,G,Wisconsin,33,1022,70,77,36,5,39,70,262,.388,.424,.348,.696,7.9,2.1,2.3,1.1,0.2,10.6,2.2,2.4,6-2,211
75,A.J. Hoggard,SO,G,Michigan State,36,728,82,174,25,17,71,60,252,.439,.476,.219,.630,7.0,2.3,4.8,0.7,0.5,17.0,1.9,3.6,6-3,220
77,Caleb Houstan,FR,G,Michigan,34,1088,135,46,25,8,52,57,343,.384,.426,.355,.783,10.1,4.0,1.4,0.7,0.2,11.8,2.3,3.1,6-8,205
78,Jace Howard,SO,G,Michigan,14,65,7,3,2,2,4,15,16,.429,.714,.143,.750,1.1,0.5,0.2,0.1,0.1,8.1,0.1,0.5,6-7,210
81,Markus Ilver,FR,F,Wisconsin,8,29,4,0,0,0,2,7,5,.125,.333,.000,.750,0.6,0.5,0.0,0.0,0.0,-7.7,-0.1,-16.8,6-8,219
82,Jaden Ivey,SO,G,Purdue,36,1132,176,110,33,20,94,63,624,.460,.531,.358,.744,17.3,4.9,3.1,0.9,0.6,22.5,5.1,7.2,6-4,200
84,Zeb Jackson,SO,G,Michigan,4,35,6,2,0,1,3,2,13,.500,.500,.500,,3.3,1.5,0.5,0.0,0.3,13.7,0.1,3.1,6-5,180
86,Ishaan Jagiasi,,G,Penn State,2,2,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,6-1,180
88,Dallion Johnson,SO,G,Penn State,29,422,34,10,4,0,12,22,106,.346,.300,.365,.875,3.7,1.2,0.3,0.1,0.0,7.3,0.5,-0.4,6-3,175
90,Meechie Johnson Jr.,FR,G,Ohio State,26,461,40,31,17,3,35,40,115,.308,.278,.321,.737,4.4,1.5,1.2,0.7,0.1,6.5,0.2,-1.3,6-2,172
92,Jaden Jones,SO,G,Rutgers,17,176,20,3,2,2,2,7,62,.364,.472,.233,.700,3.6,1.2,0.2,0.1,0.1,11.7,0.3,-1.6,6-8,195
93,Brett Karkus,FR,G,Maryland,2,3,0,0,0,0,0,0,0,.000,,.000,,0.0,0.0,0.0,0.0,0.0,-15.5,0.0,-21.4,6-4,180
95,Zed Key,SO,F,Ohio State,29,575,163,15,6,24,33,69,226,.562,.562,,.581,7.8,5.6,0.5,0.2,0.8,20.4,2.1,2.5,6-8,245
98,Luc Laketa,FR,G,Iowa,12,34,2,1,2,0,3,1,9,.500,.000,.600,,0.8,0.2,0.1,0.2,0.0,10.8,0.1,2.2,6-4,180
99,Khristian Lander,SO,G,Indiana,13,115,10,12,4,1,18,19,38,.452,.526,.333,.750,2.9,0.8,0.9,0.3,0.1,5.9,0.0,-3.9,6-2,185
100,Anthony Leal,SO,G,Indiana,17,173,16,18,6,1,7,14,33,.407,.800,.318,.667,1.9,0.9,1.1,0.4,0.1,10.4,0.4,3.1,6-5,210
103,Brandon Lieb,SO,C,Illinois,10,24,7,1,0,1,1,4,8,.800,.800,,.000,0.8,0.7,0.1,0.0,0.1,21.9,0.1,3.8,7-0,210
104,Isaac Lindsey,SO,G,Wisconsin,6,13,0,0,0,0,0,0,3,.200,.000,.333,,0.5,0.0,0.0,0.0,0.0,-1.3,0.0,-7.9,6-4,190
107,Mawot Mag,SO,F,Rutgers,28,328,52,12,8,7,17,36,82,.413,.466,.235,.696,2.9,1.9,0.4,0.3,0.3,10.3,0.5,-1.4,6-7,215
109,Chase Martin,SO,G,Purdue,8,16,2,1,1,0,2,3,2,.200,.200,,.000,0.3,0.3,0.1,0.1,0.0,-12.4,-0.1,-24.8,6-3,195
110,Ian Martinez,SO,G,Maryland,28,351,46,31,22,7,23,35,79,.329,.365,.267,.708,2.8,1.6,1.1,0.8,0.3,9.9,0.3,1.3,6-3,181
113,Patrick McCaffery,SO,F,Iowa,32,774,114,50,19,15,21,23,336,.422,.469,.330,.714,10.5,3.6,1.6,0.6,0.5,18.0,2.7,5.7,6-9,200
115,Aidan McCool,SO,G,Maryland,3,5,1,1,0,0,0,0,2,,,,1.000,0.7,0.3,0.3,0.0,0.0,34.4,0.0,11.5,6-3,155
