

,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced
Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
142,Oskar Palmquist\oskar-palmquist-1,SO,F,Rutgers,15,90,10,6,2,0,3,11,22,.412,.333,.455,.500,1.5,0.7,0.4,0.1,0.0,11.0,0.2,0.6
143,Omar Payne\omar-payne-1,JR,F,Illinois,32,237,53,5,3,24,18,58,57,.618,.618,,.536,1.8,1.7,0.2,0.1,0.8,12.1,0.6,1.5
144,Tony Perkins\tony-perkins-1,SO,G,Iowa,36,657,88,59,32,3,33,62,267,.446,.485,.321,.800,7.4,2.4,1.6,0.9,0.1,17.6,2.3,3.9
145,Michael Peterson\michael-peterson-1,SR,G,Michigan State,9,13,2,0,0,1,1,0,0,.000,.000,.000,,0.0,0.2,0.0,0.0,0.1,-5.8,0.0,-7.9
146,Rob Phinisee\rob-phinisee-1,SR,G,Indiana,25,457,52,43,20,5,23,37,112,.312,.364,.264,.412,4.5,2.1,1.7,0.8,0.2,8.1,0.5,0.9
147,Jalen Pickett\jalen-pickett-1,SR,G,Penn State,31,1154,133,135,35,19,55,59,413,.420,.483,.320,.746,13.3,4.3,4.4,1.1,0.6,17.3,3.5,5.7
148,Alfonso Plummer\alfonso-plummer-1,SR,G,Illinois,33,995,81,35,10,0,43,52,482,.424,.455,.408,.874,14.6,2.5,1.1,0.3,0.0,16.2,3.7,4.7
149,Brandin Podziemski\brandin-podziemski-1,FR,G,Illinois,16,69,15,5,1,0,4,7,22,.421,.833,.231,.750,1.4,0.9,0.3,0.1,0.0,12.1,0.2,0.1
150,Will Ramberg\will-ramberg-1,SO,G,Minnesota,13,48,4,1,1,0,2,2,5,.400,.500,.000,.333,0.4,0.3,0.1,0.1,0.0,3.2,0.0,-3.9
151,Filip Rebraca\filip-rebraca-1,SR,F,Iowa,36,768,202,26,14,24,31,83,208,.534,.548,.167,.603,5.8,5.6,0.7,0.4,0.7,15.0,2.4,2.3
152,Julian Reese\julian-reese-1,FR,F,Maryland,32,565,142,13,14,23,39,84,182,.456,.484,.304,.804,5.7,4.4,0.4,0.4,0.7,15.8,1.4,0.2
153,Dean Reiber\dean-reiber-1,SO,F,Rutgers,28,211,36,12,8,11,15,32,82,.531,.519,.583,.583,2.9,1.3,0.4,0.3,0.4,18.0,0.6,3.9
154,Arnaud Revaz\arnaud-revaz-1,SO,F,Maryland,2,3,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1
155,Julian Roper II\julian-roperii-1,FR,G,Northwestern,29,586,99,28,25,14,13,50,116,.342,.333,.353,.714,4.0,3.4,1.0,0.9,0.5,11.4,1.4,2.2
156,Cedric Russell\cedric-russell-1,SR,G,Ohio State,30,386,19,13,4,0,15,22,127,.438,.447,.433,.667,4.2,0.6,0.4,0.1,0.0,10.6,0.7,1.9
157,Fatts Russell\fatts-russell-1,SR,G,Maryland,32,1044,131,119,43,5,79,78,483,.410,.442,.348,.785,15.1,4.1,3.7,1.3,0.2,18.4,3.0,4.0
158,Payton Sandfort\payton-sandfort-1,FR,G,Iowa,34,357,65,22,5,4,16,29,171,.418,.509,.366,.938,5.0,1.9,0.6,0.1,0.1,18.8,1.4,3.5
159,Dylan Sandhu\dylan-sandhu-1,SR,G,Northwestern,3,1,0,0,0,0,0,1,0,,,,,0.0,0.0,0.0,0.0,0.0,-17.1,0.0,-32.6
160,Donta Scott\donta-scott-1,JR,F,Maryland,32,1066,198,39,26,24,52,63,403,.427,.517,.291,.800,12.6,6.2,1.2,0.8,0.8,16.4,2.7,3.3
161,Jevonnie Scott\jevonnie-scott-1,,F,Penn State,11,70,18,2,2,3,7,17,15,.400,.462,.000,.375,1.4,1.6,0.2,0.2,0.3,3.6,0.0,-6.3
162,Connor Serven\connor-serven-1,SO,F,Illinois,6,12,1,0,0,0,0,0,0,.000,,.000,,0.0,0.2,0.0,0.0,0.0,-2.5,0.0,-6.4
163,Sam Sessoms\sam-sessoms-1,SR,G,Penn State,31,857,95,82,25,2,69,55,359,.448,.459,.420,.783,11.6,3.1,2.6,0.8,0.1,16.3,2.1,2.7
164,Casey Simmons\casey-simmons-1,FR,G,Northwestern,27,312,41,13,12,2,16,30,68,.413,.468,.250,.545,2.5,1.5,0.5,0.4,0.1,8.4,0.4,-1.7
165,Mady Sissoko\mady-sissoko-1,SO,C,Michigan State,30,134,30,1,1,13,8,33,33,.632,.632,,.429,1.1,1.0,0.0,0.0,0.4,10.9,0.3,-1.5
166,Davis Smith\davis-smith-1,SO,G,Michigan State,12,20,1,1,0,0,1,2,0,.000,.000,.000,.000,0.0,0.1,0.1,0.0,0.0,-7.8,-0.1,-9.2
167,Jimmy Sotos\jimmy-sotos-1,SR,G,Ohio State,19,146,13,25,2,2,6,17,34,.526,.444,.600,.800,1.8,0.7,1.3,0.1,0.1,15.9,0.6,4.4
168,Sasha Stefanovic\sasha-stefanovic-1,SR,G,Purdue,37,1125,91,111,13,7,42,58,384,.392,.433,.380,.867,10.4,2.5,3.0,0.4,0.2,14.4,3.9,4.9
169,E.J. Stephens\ej-stephens-1,SR,G,Minnesota,29,926,91,45,27,2,36,46,296,.420,.444,.387,.818,10.2,3.1,1.6,0.9,0.1,13.0,1.7,1.0
170,Parker Stewart\parker-stewart-1,JR,G,Indiana,34,830,72,33,14,2,24,87,211,.374,.327,.393,.643,6.2,2.1,1.0,0.4,0.1,7.7,1.7,1.0
171,Justice Sueing\justice-sueing-2,SR,F,Ohio State,2,31,7,0,1,0,2,3,12,.385,.556,.000,1.000,6.0,3.5,0.0,0.5,0.0,10.1,0.0,-9.8
172,Sean Sutherlin\sean-sutherlin-1,SR,G,Minnesota,28,616,102,29,23,9,32,53,202,.480,.504,.231,.705,7.2,3.6,1.0,0.8,0.3,14.9,1.4,1.1
173,Justin Taphorn\justin-taphorn-1,SO,G,Wisconsin,4,5,0,0,0,0,1,0,0,,,,,0.0,0.0,0.0,0.0,0.0,-12.7,0.0,-14.1
174,Aiden Terry\aiden-terry-1,SO,G,Rutgers,3,5,4,1,0,0,3,1,0,,,,,0.0,1.3,0.3,0.0,0.0,-20.4,-0.1,-28.2
