,Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
130,130,Keegan Murray\keegan-murray-1,SO,F,Iowa,35,1116,303,52,45,68,39,65,822,.554,.621,.398,.747,23.5,8.7,1.5,1.3,1.9,37.8,8.7,15.7
131,131,Kris Murray\kris-murray-1,SO,F,Iowa,35,628,149,37,29,31,27,87,340,.479,.547,.387,.645,9.7,4.3,1.1,0.8,0.9,26.1,3.4,9.1
139,139,Josh Ogundele\josh-ogundele-1,SO,F,Iowa,19,98,24,0,4,5,9,19,29,.542,.542,,.300,1.5,1.3,0.0,0.2,0.3,10.4,0.1,-3.3
142,142,Oskar Palmquist\oskar-palmquist-1,SO,F,Rutgers,15,90,10,6,2,0,3,11,22,.412,.333,.455,.500,1.5,0.7,0.4,0.1,0.0,11.0,0.2,0.6
152,152,Julian Reese\julian-reese-1,FR,F,Maryland,32,565,142,13,14,23,39,84,182,.456,.484,.304,.804,5.7,4.4,0.4,0.4,0.7,15.8,1.4,0.2
153,153,Dean Reiber\dean-reiber-1,SO,F,Rutgers,28,211,36,12,8,11,15,32,82,.531,.519,.583,.583,2.9,1.3,0.4,0.3,0.4,18.0,0.6,3.9
154,154,Arnaud Revaz\arnaud-revaz-1,SO,F,Maryland,2,3,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1
162,162,Connor Serven\connor-serven-1,SO,F,Illinois,6,12,1,0,0,0,0,0,0,.000,,.000,,0.0,0.2,0.0,0.0,0.0,-2.5,0.0,-6.4
194,194,Terrance Williams\terrance-williamsii-1,SO,F,Michigan,31,469,73,16,4,1,15,42,146,.455,.517,.385,.788,4.7,2.4,0.5,0.1,0.0,12.9,1.3,2.7
3,3,Jaden Akins\jaden-akins-1,FR,G,Michigan State,36,532,85,25,22,9,24,45,122,.394,.407,.380,.607,3.4,2.4,0.7,0.6,0.3,10.8,1.0,3.2
9,9,Isaiah Barnes\isaiah-barnes-1,FR,G,Michigan,2,6,1,0,0,0,0,0,0,,,,,0.0,0.5,0.0,0.0,0.0,2.8,0.0,0.1
10,10,Brooks Barnhizer\brooks-barnhizer-1,FR,G,Northwestern,11,82,8,11,6,3,3,5,19,.231,.267,.182,.833,1.7,0.7,1.0,0.5,0.3,11.3,0.1,-0.3
11,11,Carson Barrett\carson-barrett-1,SO,G,Purdue,9,19,6,1,0,0,4,2,4,.250,.400,.000,.000,0.4,0.7,0.1,0.0,0.0,-8.3,-0.1,-22.5
12,12,Tamar Bates\tamar-bates-1,FR,G,Indiana,32,465,40,20,8,4,22,31,125,.338,.370,.298,.833,3.9,1.3,0.6,0.3,0.1,6.6,0.5,-0.8
15,15,Ty Berry\ty-berry-1,SO,G,Northwestern,31,686,70,34,21,4,21,59,230,.388,.387,.388,.667,7.4,2.3,1.1,0.7,0.1,11.8,1.6,0.9
19,19,Lorne Bowman\lorne-bowmanii-1,FR,G,Wisconsin,22,228,24,11,6,0,13,24,66,.344,.290,.400,.480,3.0,1.1,0.5,0.3,0.0,7.1,0.2,-0.7
20,20,Malaki Branham\malaki-branham-1,FR,G,Ohio State,32,948,114,64,23,9,54,56,437,.498,.530,.416,.833,13.7,3.6,2.0,0.7,0.3,20.4,3.6,5.7
23,23,Pierre Brooks\pierre-brooks-1,FR,G,Michigan State,25,93,12,4,0,0,7,0,23,.300,.444,.182,.692,0.9,0.5,0.2,0.0,0.0,5.4,0.0,-3.5
24,24,Eugene Brown\eugene-browniii-1,SO,G,Ohio State,26,441,63,14,5,7,14,42,90,.442,.619,.229,.609,3.5,2.4,0.5,0.2,0.3,9.1,0.8,1.9
27,27,Kobe Bufkin\kobe-bufkin-1,FR,G,Michigan,28,298,32,8,11,3,15,24,85,.380,.512,.222,.773,3.0,1.1,0.3,0.4,0.1,9.4,0.4,0.6
33,33,Max Christie\max-christie-1,FR,G,Michigan State,35,1078,121,51,18,17,52,39,324,.382,.429,.317,.824,9.3,3.5,1.5,0.5,0.5,10.5,1.7,1.9
